,Date,Close,High,Low,Open,Volume,Ticker
0,2019-08-22,115.62320709228516,119.19917989066931,113.92036166527559,119.19917989066931,148008,CHAMBLFERT.NS
1,2019-08-23,126.94713592529297,128.9905453077537,115.58063713219515,117.24090887940449,256655,CHAMBLFERT.NS
2,2019-08-26,127.24510955810547,128.56481723400879,124.1799958826328,127.71339460331998,126644,CHAMBLFERT.NS
3,2019-08-27,126.05315399169922,129.84198302929985,124.39288205293956,127.71342593045888,279683,CHAMBLFERT.NS
4,2019-08-28,129.88453674316406,131.75766410299678,126.01056082225216,126.01056082225216,485555,CHAMBLFERT.NS
5,2019-08-29,131.20423889160156,134.0990707784002,130.2676687561602,131.5022290316573,214698,CHAMBLFERT.NS
6,2019-08-30,131.88539123535156,132.01311245492334,130.26769305422653,130.6082569897219,112812,CHAMBLFERT.NS
7,2019-09-03,129.88453674316406,133.24765384244907,127.71340623876908,127.71340623876908,217696,CHAMBLFERT.NS
8,2019-09-04,134.35450744628906,136.05735288162435,129.67168249911705,130.26767580314848,274687,CHAMBLFERT.NS
9,2019-09-05,137.6324920654297,138.78191805581594,133.84366315856113,133.84366315856113,245094,CHAMBLFERT.NS
10,2019-09-06,135.86520385742188,140.90841558268522,134.3565484161631,138.5807783899151,260212,CHAMBLFERT.NS
11,2019-09-09,134.5720977783203,137.84802544543842,133.62379461924874,134.70140586617816,73175,CHAMBLFERT.NS
12,2019-09-11,137.37384033203125,143.10672495552592,133.66685627157446,134.83066813006099,796374,CHAMBLFERT.NS
13,2019-09-12,136.8566131591797,138.79631318820742,136.08073840934168,137.41696568357017,77686,CHAMBLFERT.NS
14,2019-09-13,137.41697692871094,138.53769522363552,135.64970505896756,137.07214660154975,214951,CHAMBLFERT.NS
15,2019-09-16,138.06350708007812,140.26183600800894,134.87378135838944,136.6410659143507,197568,CHAMBLFERT.NS
16,2019-09-17,132.847900390625,140.9084234483535,131.2099236417371,137.28765281810314,173168,CHAMBLFERT.NS
17,2019-09-18,134.48587036132812,136.21004818647336,132.84790668921332,136.21004818647336,189445,CHAMBLFERT.NS
18,2019-09-19,131.03750610351562,135.95140995151107,130.34783238787386,134.87379888158083,69335,CHAMBLFERT.NS
19,2019-09-20,147.20167541503906,155.60704194679093,131.08061608246297,131.123723157102,671573,CHAMBLFERT.NS
20,2019-09-23,144.96023559570312,154.27079785347468,141.38257211195986,153.62423121271877,1155606,CHAMBLFERT.NS
21,2019-09-24,144.22747802734375,149.96036404701974,141.51189005399758,143.32228203622836,605705,CHAMBLFERT.NS
22,2019-09-25,138.06350708007812,144.4860787459688,137.11521735440326,144.05503437399923,247110,CHAMBLFERT.NS
23,2019-09-26,138.88250732421875,140.30494854539512,136.29624099158474,139.65838196223663,204073,CHAMBLFERT.NS
24,2019-09-27,137.11526489257812,140.90845141924456,135.77902424530873,140.90845141924456,460897,CHAMBLFERT.NS
25,2019-09-30,132.58926391601562,137.80490393815703,131.29613067851437,137.1583373194064,90041,CHAMBLFERT.NS
26,2019-10-01,133.40823364257812,140.90840311308418,132.7616670821133,137.76178444726077,715701,CHAMBLFERT.NS
27,2019-10-03,128.53744506835938,132.15821538977139,126.38222307294376,132.15821538977139,188896,CHAMBLFERT.NS
28,2019-10-04,129.52886962890625,131.46856983965526,127.97710682942025,130.17543636582258,130009,CHAMBLFERT.NS
29,2019-10-07,125.30464172363281,130.30474741252976,124.27012439751074,129.57197965336655,142033,CHAMBLFERT.NS
30,2019-10-09,126.72705841064453,128.45123607609548,124.48562218378564,125.43392516155632,150858,CHAMBLFERT.NS
31,2019-10-10,127.20121765136719,128.23572168279568,126.29602169095509,126.42532976197148,66687,CHAMBLFERT.NS
32,2019-10-11,127.8046875,130.6926907592439,127.41675010137574,128.40814713724146,118040,CHAMBLFERT.NS
33,2019-10-14,126.25289154052734,131.0374866101388,125.00286551625085,127.0718732009547,108283,CHAMBLFERT.NS
34,2019-10-15,125.4770278930664,128.23570943146203,124.7873542198597,126.38222376699825,85377,CHAMBLFERT.NS
35,2019-10-16,130.95127868652344,132.33062597803416,126.08048240578174,126.72704898222165,628463,CHAMBLFERT.NS
36,2019-10-17,133.2789306640625,134.05480530437336,130.3909279889805,130.86507944891753,130633,CHAMBLFERT.NS
